Num,Disease,PatinentsNumber,TotalObservation,AvgDailyDeath,DeathToll,TotalPatients,AvgDailyPatients,PatientsAboveSixty,PatientsUnderSixty,MalePatients,FemalePatients,Year,Days,Months,DailyMinTemp,DailyAvgTemp,DailyMaxTemp,City,Country,LAT,LON,Literature,Page,Journal,
107,cardiovascular disease,null,"481,854",4.9,null,null,null,null,null,null,null,1990–2000,2013,4-9,null,null,28.5,Dublin,Ireland,53.3497645,-6.2602732,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
108,respiratory disease,null,"481,854",1.4,null,null,null,null,null,null,null,1990–2000,2013,4-9,null,null,28.5,Dublin,Ireland,53.3497645,-6.2502732,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
109,all-cause non-accidental mortality,null,null,null,48828,null,null,11596,37232,22996,25832,2006-2010,null,null,null,21,null,Durban,South Africa,-29.861825,31.009909,"Heat effects of ambient apparent temperature on all-cause mortality in Cape Town, Durban and Johannesburg, South Africa: 2006-2011",587:266-272,Science of the Total Environment,
110,emergency department visits,null,880000,null,null,null,69,null,null,null,null,2015-2017,null,null,null,27.4,null,Feixi,China,31.7090349,117.152533,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
111,Cardio-respiratory disease,null,"261,724",1.3,null,null,null,null,null,null,null, 1990-1996,"1,096",null,null,13.83,null,Gijon,Spanish,43.5449422,-5.66275,"Relation between Temperature and Mortality in Thirteen 
Spanish Cities","2010, 7, 3196-3210",International Journal of Environmental Research and Public Health,
112,HFMD cases,"827,911",null,null,null,null,null,null,null,null,null,2010-2012,null,null,null,null,40.88,Guangdong,China,23.1357694,113.1982688,"Quantifying the adverse effect of excessive heat on children: An elevated risk of hand, foot and mouth disease in hot days",541 (2016) 194–199,Science of the Total Environment,
113,mortality,null,null,125,null,null,null,null,null,null,null,2012-2013,null,null,null,21.6,null,Guangzhou,China,23.05338508,113.2646196,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531 ,Scientific Reports,
114,Daily CVD,null,null,45,null,null,null,null,null,null,null,2011–2013,null,null,null,21.6,null,Guangzhou,China,23.20241268,113.2721121,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
115,non-accidental mortality,null,null,null,1796*76.6,null,null,1796*58.4,1796*18.2,null,null,2004-2008,null,null,18.8,22.8,26.6,Guangzhou,China,23.09554651,113.2330412,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
116,cardiovascular disease,null,null,null,28.6,null,null,null,null,null,null,2004-2008,null,null,18.8,22.8,26.6,Guangzhou,China,23.10752134,113.2365427,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
117,Ischemic heart disease,null,null,null,14.7,null,null,null,null,null,null,2004-2008,null,null,18.8,22.8,26.6,Guangzhou,China,23.15723354,113.2433904,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
118,cercbral disease,null,null,null,10.1,null,null,null,null,null,null,2004-2008,null,null,18.8,22.8,26.6,Guangzhou,China,23.13908395,113.3191556,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
119,respiratory diseases,null,null,null,14.4,null,null,null,null,null,null,2004-2008,null,null,18.8,22.8,26.6,Guangzhou,China,23.10450085,113.3247476,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
120,COPD,null,null,null,7.9,null,null,null,null,null,null,2004-2008,null,null,18.8,22.8,26.6,Guangzhou,China,23.11641378,113.2435838,Impact of climate warming on excessive mortality in four Chinese cities,null,Academic dissertation,
121,Daily non-accidental deaths,null,null,1.16,null,null,null,null,null,null,null,2008-2013,null,null,–0.7,19.57,32.6,Guilin,China,25.238704,110.1750728,The influence of temperature on mortality and its Lag effect: a study in four Chinese cities with different latitudes,16:375,Bmc Public Health,
122,death,null,"1,384,000",13.53,null,null,null,8.59,4.94,null,null,1994–2003,null,6-8,null,24.8,null,Gwangju,Korea,35.1594647,126.8515034,"High Temperature, Heat Index, and Mortality in 6 Major Cities in South Korea"," Vol. 61, No. 6, 2006",Archives of Environmental & Occupational Health,
123,Allergic disease,null,null,null,null,null,9.1,null,null,null,null,2003-2008,null,null,null,14.2,null,Gwangju,Korea,35.16357516,126.8040147,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
124,Asthma,null,null,null,null,null,8.7,null,null,null,null,2003-2008,null,null,null,14.2,null,Gwangju,Korea,35.24496517,126.9045591,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
125,Selected respiratory disease,null,null,null,null,null,65.3,null,null,null,null,2003-2008,null,null,null,14.2,null,Gwangju,Korea,35.17240626,126.9400588,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
126,Cardiovascular disease,null,null,null,null,null,90.3,null,null,null,null,2003-2008,null,null,null,14.2,null,Gwangju,Korea,35.14008409,126.7800982,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
127,out-of-hospital cardiac arrest ,null,null,null,null,null,1,null,null,null,null,2006-2013,null,null,null,14.3,null,Gwangju,Korea,35.07596037,126.8184604,"Heat, heat waves, and out-of-hospital cardiac arrest",221:232-237,International Journal of Cardiology,
128,Daily non-accidental deaths,null,null,2.13,null,null,null,null,null,null,null,2008-2014,null,null,8.7,23.9,31.6,Haikou,China,20.0462328,110.1956502,The influence of temperature on mortality and its Lag effect: a study in four Chinese cities with different latitudes,16:375,Bmc Public Health,
129,mortality,null,null,166,null,null,null,null,null,null,null,2008-2013,null,null,null,5.1,null,Harbin,China,45.7988273,126.5303997,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531 ,Scientific Reports,
130,Daily CVD,null,null,82,null,null,null,null,null,null,null,2007–2013,null,null,null,5.3,null,Harbin,China,45.7888273,126.5303997,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
131,emergency department visits,null,10516000,null,null,null,110,null,null,null,null,2015-2016,null,null,null,22.7,null,Harbin,China,45.7988273,126.5303997,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
132,mortality,null,null,96,null,null,null,null,null,null,null,2012-2013,null,null,null,16.6,null,Hefei,China,31.8228094,117.2218033,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531 ,Scientific Reports,
133,non-accidental mortality,null,null,null,84706,null,null,null,null,50183,34523,2007-2016,null,null,null,16.73,null,Hefei,China,31.8328094,117.2218033,The relationship between daily average temperature and non-accidental mortality in Hefei City from 2007 to 2016,22（04）：422-425,Chinese Journal of Disease Control & Prevention,
134,cardiovascular disease,null,null,null,34500,null,null,null,null,null,null,2007-2016,null,null,null,16.73,null,Hefei,China,31.8228094,117.2318033,The relationship between daily average temperature and non-accidental mortality in Hefei City from 2007 to 2017,22（04）：422-425,Chinese Journal of Disease Control & Prevention,
135,respiratory diseases,null,null,null,7962,null,null,null,null,null,null,2007-2016,null,null,null,16.73,null,Hefei,China,31.8328094,117.2318033,The relationship between daily average temperature and non-accidental mortality in Hefei City from 2007 to 2018,22（04）：422-425,Chinese Journal of Disease Control & Prevention,
136,Respiratory,null,null,1.5,null,null,null,null,null,null,null,1996–2002,null,null,null,12.6,null,Helsinki,Finland,60.1674881,24.9427473,Changes in the Effect of Heat on Mortality in the Last 36 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
137,Respiratory,null,null,0.9,null,null,null,null,null,null,null,2004–2010,null,null,null,13,null,Helsinki,Finland,60.23938832,24.95163217,Changes in the Effect of Heat on Mortality in the Last 37 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
138,Cardiovascular,null,null,7.4,null,null,null,null,null,null,null,1996–2002,null,null,null,12.6,null,Helsinki,Finland,60.10659635,24.85974246,Changes in the Effect of Heat on Mortality in the Last 54 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
139,Cardiovascular,null,null,6.9,null,null,null,null,null,null,null,2004–2010,null,null,null,13,null,Helsinki,Finland,60.071896,24.91487802,Changes in the Effect of Heat on Mortality in the Last 55 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
140,heat disease,null,955143,null,121,null,null,null,null,null,null,1990–2000,null,null,null,null,14.3 ,Helsinki,Finland,60.24858865,24.9106554,Impact of Summer Heat on Urban Population Mortality in Europe during the 1990s: An Evaluation of Years of Life Lost Adjusted for Harvesting,2013. 8(7).,Plos One,
141,cardiovascular disease,null,"955,143",8.2,null,null,null,null,null,null,null,1990–2000,2013,4-9,null,null,32.8,Helsinki,Finland,60.10267454,24.96659136,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
142,respiratory disease,null,"955,143",1.4,null,null,null,null,null,null,null,1990–2000,2013,4-9,null,null,32.8,Helsinki,Finland,60.08645057,24.90646045,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
143, mental-disorder,null,"7,150,288",null,null,"44,600",null,23452,21148,23392,21208,2002–2011,3652,null,null,null,31.8,Hong Kong,China,22.2793278,114.1628131,"Association between Ambient Temperatures and
Mental Disorder Hospitalizations in a Subtropical
City: A Time-Series Study of Hong Kong Special
Administrative Region","2018, 15, 754",International Journal of Environmental Research and Public Health,
144,emergency department visits,null,202000,null,null,null,21,null,null,null,null,2014-2016,null,null,null,21.7,null,Horinger,China,40.2952478,111.9044975,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
145,Deaths,null,null,null,"366,340",null,null,null,null,null,null,1985–2006,null,null,−8.1,22.2,33.3,Houston,USA,29.7589382,-95.3676974,Associations of Inter- and Intraday Temperature Change With Mortality,183(4):286–293,American Journal of Epidemiology,
146,Daily mean stroke death,null,null,16.8,null,null,null,null,null,null,null,2009-2013,null,5~9,null,24.7,null,Huaian,China,33.5524785,119.1075773,Heat and mortality for ischemic and hemorrhagic stroke in 15 cities of,601–602 (2017) 271–277,Science of the Total Environment,
147,Ischemic,null,null,6.2,null,null,null,null,null,null,null,2009-2013,null,5~9,null,24.7,null,Huaian,China,33.5424785,119.1075773,Heat and mortality for ischemic and hemorrhagic stroke in 16 cities of,601–602 (2017) 271–277,Science of the Total Environment,
148,Hemorrhagic,null,null,7.6,null,null,null,null,null,null,null,2009-2013,null,5~9,null,24.7,null,Huaian,China,33.5524785,119.1175773,Heat and mortality for ischemic and hemorrhagic stroke in 17 cities of,601–602 (2017) 271–277,Science of the Total Environment,
149,death,null,null,2.4,3496,null,null,null,null,null,null,2009-2012,null,null,null,17.4,null,Huangshigang,China,30.2254279,115.0604721,"Impact of temperature on mortality in Hubei, China: a multi-county time series analysis",7:45093,Scientific Reports,
150,Cardio-respiratory disease,null,"142,547",1.3,null,null,null,null,null,null,null, 1990-1996,"1,097",null,null,18.53,null,Huelva,Spanish,37.2575874,-6.9484945,"Relation between Temperature and Mortality in Thirteen 
Spanish Cities","2010, 7, 3196-3210",International Journal of Environmental Research and Public Health,
151,emergency department visits,null,2528000,null,null,null,69,null,null,null,null,2014-2017,null,null,null,19.3,null,Hulun Buir,China,49.2187995,119.7431228,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
152,cardiovascular disease,null,2565000,6.46,null,null,null,null,null,null,null,1991–2008,null,6-8,null,23.5,null,Incheon,Korea,37.456,126.7052,Distributed lag effects in the relationship between temperature and mortality in three major cities in South Korea, 409 (2011) 3274–3280,Science of the Total Environment,
153,death,null,"2,565,000",25.03,null,null,null,15.38,9.65,null,null,1994–2003,null,6-8,null,23.9,null,Incheon,Korea,37.48389482,126.7011506,"High Temperature, Heat Index, and Mortality in 6 Major Cities in South Korea"," Vol. 61, No. 6, 2006",Archives of Environmental & Occupational Health,
154,Allergic disease,null,null,null,null,null,14.6,null,null,null,null,2003-2008,null,null,null,12.6,null,Incheon,Korea,37.5035024,126.6696703,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
155,Asthma,null,null,null,null,null,15,null,null,null,null,2003-2008,null,null,null,12.6,null,Incheon,Korea,37.41006258,126.66468,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
156,Selected respiratory disease,null,null,null,null,null,71,null,null,null,null,2003-2008,null,null,null,12.6,null,Incheon,Korea,37.43328488,126.6957826,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
157,Cardiovascular disease,null,null,null,null,null,156.6,null,null,null,null,2003-2008,null,null,null,12.6,null,Incheon,Korea,37.42874869,126.6802129,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
158,out-of-hospital cardiac arrest ,null,null,null,null,null,2.3,null,null,null,null,2006-2013,null,null,null,12.4,null,Incheon,Korea,37.46126119,126.689931,"Heat, heat waves, and out-of-hospital cardiac arrest",221:232-237,International Journal of Cardiology,
159,Nonaccidental Death,null,null,null,"33,511,400",null,null,null,null,null,null,1972–2012,null,null,null,15.08,null,Japan,Japan,36.685326,139.62029,An Investigation on Attributes of Ambient Temperature and Diurnal Temperature Range on Mortality in Five East-Asian Countries,7: 10207,Scientific Reports,
160,Cardiovascular related- Death,null,null,null,"12,605,176",null,null,null,null,null,null,1972–2012,null,null,null,15.08,null,Japan,Japan,36.695326,139.62029,An Investigation on Attributes of Ambient Temperature and Diurnal Temperature Range on Mortality in Five East-Asian Countries,7: 10207,Scientific Reports,
161,Respiratory relatedDeath,null,null,null,"4,413,875",null,null,null,null,null,null,1972–2012,null,null,null,15.08,null,Japan,Japan,36.685326,139.63029,An Investigation on Attributes of Ambient Temperature and Diurnal Temperature Range on Mortality in Five East-Asian Countries,7: 10207,Scientific Reports,
162,Allergic disease,null,null,null,null,null,4.7,null,null,null,null,2003-2008,null,null,null,16.2,null,Jeju,Korea,33.3939924,126.5626653,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
163,Asthma,null,null,null,null,null,5.7,null,null,null,null,2003-2008,null,null,null,16.2,null,Jeju,Korea,33.43386227,126.6097183,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
164,Selected respiratory disease,null,null,null,null,null,27.7,null,null,null,null,2003-2008,null,null,null,16.2,null,Jeju,Korea,33.39992091,126.5184674,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
165,Cardiovascular disease,null,null,null,null,null,32.8,null,null,null,null,2003-2008,null,null,null,16.2,null,Jeju,Korea,33.40838252,126.5816479,"The impact of heat, cold, and heat waves on hospital admissions in eight cities in Korea",58(9):1893-1903,Int J Biometeorol,
166,death,null,null,11.6,16895,null,null,null,null,null,null,2009-2012,null,null,null,16.8,null,Jiangan,China,31.443891,115.192684,"Impact of temperature on mortality in Hubei, China: a multi-county time series analysis",7:45093,Scientific Reports,
167,mortality,null,null,109,null,null,null,null,null,null,null,2011-2013,null,null,null,14.4,null,Jinan,China,36.6507007,117.1140042,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531 ,Scientific Reports,
168,Daily CVD,null,null,59,null,null,null,null,null,null,null,2011–2013,null,null,null,14.4,null,Jinan,China,36.6617007,117.1140042,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
169,Psychological disease,null,null,null,null,null,null,2676,897,null,null,2010,null,6~8,null,31.3,38.1,Jinan,China,36.6507007,117.1000042,Effect of Heat Waves on Residents' Mental Health and the Relative Factors in Jinan,null,Academic dissertation,
170,all-cause non-accidental mortality,null,null,null,29668,null,null,8155,21513,14573,15095,2006-2010,null,null,null,16.4,null,Johannesburg,South Africa,-26.205,28.049722,"Heat effects of ambient apparent temperature on all-cause mortality in Cape Town, Durban and Johannesburg, South Africa: 2006-2012",587:266-272,Science of the Total Environment,
171,hospital admissions,"26,613",null,null,null,null,null,null,null,"10,004","16,609",2004-2012,null,summer,20.94,24.32,28.59,Korea,Korea,35.638392,126.6961188,Associations between Temperature and Hospital Admissions for Subarachnoid Hemorrhage in Korea,"14, 449",International Journal of Environmental Research and Public Health,
172,acute myocardial infarction,"42,831",null,null,null,null,null,null,null,"28,789","14,042",2004-2012,null,6~8,20.74,24.19,28.56,Korea,Korea,36.44669706,127.8478424,Vulnerabilities to Temperature Effects on Acute Myocardial Infarction Hospital Admissions in South Korea,12(11):14571-14588,Int. J. Environ. Res. Public Health,
173,acute myocardial infarction,"45,428",null,null,null,null,null,null,null,"30,012","15,416",2004-2013,null,12~2,-3.81,0.55,5.54,Korea,Korea,36.60949879,127.7960588,Vulnerabilities to Temperature Effects on Acute Myocardial Infarction Hospital Admissions in South Korea,12(11):14571-14588,Int. J. Environ. Res. Public Health,
174,acute myocardial infarction,"90,840",null,null,null,null,null,null,null,"60,236","30,604",2004-2014,null,3~5 9~10,8.75,13.51,19.02,Korea,Korea,36.50036292,127.7530612,Vulnerabilities to Temperature Effects on Acute Myocardial Infarction Hospital Admissions in South Korea,12(11):14571-14588,Int. J. Environ. Res. Public Health,
175,Nonaccidental Death,null,null,null,"1,511,961",null,null,null,null,null,null,1992–2010,null,null,null,13.72,null,Korea,Korea,36.59590148,127.8577654,An Investigation on Attributes of Ambient Temperature and Diurnal Temperature Range on Mortality in Five East-Asian Countries,7: 10207,Scientific Reports,
176,Cardiovascular related- Death,null,null,null,"435,457",null,null,null,null,null,null,1992–2010,null,null,null,13.72,null,Korea,Korea,36.51382671,127.8652763,An Investigation on Attributes of Ambient Temperature and Diurnal Temperature Range on Mortality in Five East-Asian Countries,7: 10207,Scientific Reports,
177,Respiratory relatedDeath,null,null,null,"91,135",null,null,null,null,null,null,1992–2010,null,null,null,13.72,null,Korea,Korea,36.60497549,127.8110013,An Investigation on Attributes of Ambient Temperature and Diurnal Temperature Range on Mortality in Five East-Asian Countries,7: 10207,Scientific Reports,
178,emergency department visits,null,475000,null,null,null,71,null,null,null,null,2015-2017,null,null,null,26.7,null,Korla,China,41.7238743,86.173541,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
179,mortality,null,null,94,null,null,null,null,null,null,null,2008-2013,null,null,null,16.1,null,Kunming,China,24.8843019,102.8324209,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531 ,Scientific Reports,
180,Daily CVD,null,null,32,null,null,null,null,null,null,null,2007–2013,null,null,null,16,null,Kunming,China,24.8743019,102.8314209,Cardiovascular mortality risk attributable to,101(24):1966-1972,Heart,
181,heat disease,null,"254,585",5.6,null,null,null,null,null,null,null,2003,null,6-9,null,null,36.3,Le Havre,France,49.4938975,0.1079732,"The relation between temperature, ozone, and mortality in nine french cities during the heat wave of 2003","114:1344–1347
(2006)",Environmental Health Perspectives,
182,heat disease,null,null,6,null,null,null,null,null,null,null,2003,56,6-8,null,null,39,Le Mans,France,48.0073849,0.1967849,Effects of temperature and ozone on daily mortality during the August 2003 heat wave in France," 60:4, 205-212",Archives of Environmental & Occupational Health,
183,Daily mean stroke death,null,null,13.3,null,null,null,null,null,null,null,2009-2013,null,5~9,null,23.8,null,Lianyungang,China,34.5933134,119.2171662,Heat and mortality for ischemic and hemorrhagic stroke in 18 cities of,601–602 (2017) 271–277,Science of the Total Environment,
184,Ischemic,null,null,7,null,null,null,null,null,null,null,2009-2013,null,5~9,null,23.8,null,Lianyungang,China,34.6093134,119.2171662,Heat and mortality for ischemic and hemorrhagic stroke in 19 cities of,601–602 (2017) 271–277,Science of the Total Environment,
185,Hemorrhagic,null,null,4.8,null,null,null,null,null,null,null,2009-2013,null,5~9,null,23.8,null,Lianyungang,China,34.5933134,119.2071662,Heat and mortality for ischemic and hemorrhagic stroke in 20 cities of,601–602 (2017) 271–277,Science of the Total Environment,
186,emergency department visits,null,1786000,null,null,null,102,null,null,null,null,2014-2017,null,null,null,25.0 ,null,Liaoyang,China,41.273887,123.1693463,High temperatures and emergency department visits in 18 sites with different climatic characteristics in China: Risk assessment and attributable fraction identification,2020. 136,Environment International,
187,heat disease,null,null,9,null,null,null,null,null,null,null,2003,56,6-8,null,null,37,Lille,France,50.6365654,3.0635282,Effects of temperature and ozone on daily mortality during the August 2003 heat wave in France," 60:4, 205-212",Archives of Environmental & Occupational Health,
188,cardiovascular disease,null,"263,290",2.6,null,null,null,null,null,null,null,1990–1999,1302,4-9,null,null,35.4,Ljubljana,Slovenia,46.0500268,14.5069289,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
189,respiratory disease,null,"263,290",0.4,null,null,null,null,null,null,null,1990–1999,1302,4-9,null,null,35.4,Ljubljana,Slovenia,46.0510268,14.5069289,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
190,heat disease,null,263290,null,104,null,null,null,null,null,null,1992–1999,null,null,null,null,20.1 ,Ljubljana,Slovenia,46.0501268,14.4969289,Impact of Summer Heat on Urban Population Mortality in Europe during the 1990s: An Evaluation of Years of Life Lost Adjusted for Harvesting,2013. 8(7).,Plos One,
191,cardiovascular disease.,null,7517700,65.83,null,null,null,null,null,null,null, 1993–2003,null,6-8,null,18.1,null,London,UK,51.5073219,-0.1276474,"An ecological time-series study of heat-related mortality in three 
European cities","2008, 7:5",Environmental Health,
192,Respiratory,null,7517700,29.75,null,null,null,null,null,null,null, 1993–2003,null,6-8,null,18.1,null,London,UK,51.47374133,-0.19611373,"An ecological time-series study of heat-related mortality in three 
European cities","2008, 7:5",Environmental Health,
193,cardiovascular disease,null,"6,796,900",61.0 ,null,null,null,null,null,null,null,1990–2000,1485,4-9,null,null,35.2,London,UK,51.44989515,-0.101879466,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
194,respiratory disease,null,"6,796,900",23.7,null,null,null,null,null,null,null,1990–2000,1485,4-9,null,null,35.2,London,UK,51.42811838,-0.037342461,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
195,cardiovascular disease,null,7400000,74.3,null,null,null,null,null,null,null,1991-1994,null,null,3,12,22,London,UK,51.43444129,-0.067044957,"Mortality displacement of heat-related deaths: a comparison of Delhi, São Paulo, and London",2005;16: 613– 620,Epidemiology,
196,Respiratory disease,null,7400000,26.5,null,null,null,null,null,null,null,1991-1994,null,null,3,12,22,London,UK,51.547123,-0.196325621,"Mortality displacement of heat-related deaths: a comparison of Delhi, São Paulo, and London",2005;16: 613– 620,Epidemiology,
197,Respiratory,null,null,23.3,null,null,null,null,null,null,null,1996–2002,null,null,null,15.2,null,London,UK,51.57708784,-0.14999234,Changes in the Effect of Heat on Mortality in the Last 32 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
198,Respiratory,null,null,16.4,null,null,null,null,null,null,null,2004–2010,null,null,null,15.6,null,London,UK,51.5596688,-0.06790217,Changes in the Effect of Heat on Mortality in the Last 33 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
199,Cardiovascular,null,null,57.9,null,null,null,null,null,null,null,1996–2002,null,null,null,15.2,null,London,UK,51.59584331,-0.158598602,Changes in the Effect of Heat on Mortality in the Last 50 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
200,Cardiovascular,null,null,43.3,null,null,null,null,null,null,null,2004–2010,null,null,null,15.6,null,London,UK,51.41372227,-0.055508779,Changes in the Effect of Heat on Mortality in the Last 51 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
201,Deaths,null,null,null,"845,215",null,null,null,null,null,null,1993–2006,null,null,−3.1,11.5,29.2,London,UK,51.44014526,-0.222476479,Associations of Inter- and Intraday Temperature Change With Mortality,183(4):286–293,American Journal of Epidemiology,
202,heat disease,null,6796900,null,1278,null,null,null,null,null,null,1992–2000,null,null,null,null,18.0 ,London,UK,51.50080931,-0.208026662,Impact of Summer Heat on Urban Population Mortality in Europe during the 1990s: An Evaluation of Years of Life Lost Adjusted for Harvesting,2013. 8(7).,Plos One,
203,heat disease,null,null,15,null,null,null,null,null,null,null,2003,56,6-8,null,null,40,Lyon,France,45.7578137,4.8320114,Effects of temperature and ozone on daily mortality during the August 2003 heat wave in France," 60:4, 205-212",Archives of Environmental & Occupational Health,
204,Cardio-respiratory disease,null,"2,940,896",27.83,null,null,null,null,null,null,null, 1990-1996,"1,461",null,null,14.43,null,Madrid,Spain,40.4167047,-3.7035825,"Relation between Temperature and Mortality in Thirteen 
Spanish Cities","2010, 7, 3196-3210",International Journal of Environmental Research and Public Health,
205,Deaths,null,null,null,"577,016",null,null,null,null,null,null,1990–2010,null,null,−1.8,14.2,32.4,Madrid,Spain,40.4267047,-3.7035825,Associations of Inter- and Intraday Temperature Change With Mortality,183(4):286–293,American Journal of Epidemiology,
206,Diabetes mortality,null,null,2.14,null,null,null,null,null,null,null,2006-2011,null,null,25.6,28.5,31.5,Manila,Philippine,14.5948914,120.9782618,How Does Ambient Air Temperature Affect Diabetes Mortality in Tropical Cities?,"14, 385",International Journal of Environmental Research and Public Health,
207,All-cause mortality,null,null,52,"94,656",null,null,16.7,35.2,29.7,22.3,2006–2010,null,null,null,28.8,null,Manila,Philippine,14.53369971,120.8945977,Evaluating the Effects of Temperature on Mortality in Manila City (Philippines) from 2006-2010 Using a Distributed Lag Nonlinear Model,12(6):6842-6857,International Journal of Environmental Research and Public Health,
208,Cardiovascular,null,null,14.7,null,null,null,null,null,null,null,2006–2010,null,null,null,28.8,null,Manila,Philippine,14.68091191,120.9870561,Evaluating the Effects of Temperature on Mortality in Manila City (Philippines) from 2006-2011 Using a Distributed Lag Nonlinear Model,12(6):6842-6857,International Journal of Environmental Research and Public Health,
209,Respiratory,null,null,6.44,null,null,null,null,null,null,null,2006–2010,null,null,null,28.8,null,Manila,Philippine,14.50281893,120.9272851,Evaluating the Effects of Temperature on Mortality in Manila City (Philippines) from 2006-2012 Using a Distributed Lag Nonlinear Model,12(6):6842-6857,International Journal of Environmental Research and Public Health,
210,heat disease,null,3690284,null,1738,null,null,null,null,null,null,2000–2008,null,5-10,25.8,36.8,45.3,Maricopa County,U.S.,33.34883,-112.49123,Heat-Related Deaths in Hot Cities: Estimates of Human Tolerance to High Temperature Thresholds,"2014, 11, 3304-3326",International Journal of Environmental Research and Public Health,
211,Cardiac disease/stroke,null,3690284,null,24717,null,null,null,null,null,null,2000–2008,null,5-10,25.8,36.8,45.3,Maricopa County,U.S.,33.31542203,-112.3537738,Heat-Related Deaths in Hot Cities: Estimates of Human Tolerance to High Temperature Thresholds,"2014, 11, 3304-3326",International Journal of Environmental Research and Public Health,
212,Chronic renal failure,null,3690284,null,762,null,null,null,null,null,null,2000–2008,null,5-10,25.8,36.8,45.3,Maricopa County,U.S.,33.39741251,-112.4649688,Heat-Related Deaths in Hot Cities: Estimates of Human Tolerance to High Temperature Thresholds,"2014, 11, 3304-3326",International Journal of Environmental Research and Public Health,
213,Heart failure,null,3690284,null,848,null,null,null,null,null,null,2000–2008,null,5-10,25.8,36.8,45.3,Maricopa County,U.S.,33.31911931,-112.3494948,Heat-Related Deaths in Hot Cities: Estimates of Human Tolerance to High Temperature Thresholds,"2014, 11, 3304-3326",International Journal of Environmental Research and Public Health,
